Type,ID,Name,Event
"EAN13","4531632457505","618729 Za美白防曬霜-亮透白",""
"EAN13","4531632457529","619236 Za美白隔離霜-透亮紫",""
"EAN13","4710363977258","557030 蜜妮深層卸妝油230ml",""
"EAN13","4711046323553","970375 台塑家用新冠抗原快速試劑單入",""
"EAN13","4711061490803","714512（W店）巧米多甜不辣脆片-香菜風味",""
"EAN13","4711342490416","699935（實）燒番麥炳叔烤玉米棒",""
"EAN13","4711476006231","491769 歐典黑糖仙草雙耳飲",""
"EAN13","4713469430634","353567 Duskin魔術抹布1入",""
"EAN13","4718201571439","545328（W實）自然補給 冰糖海燕窩1瓶",""
"EAN13","4718201579251","665995（W店）自然補給仙草海燕窩1瓶",""
"EAN13","4719858308256","405030（區）老祖宗-仙草茶（無糖）",""
"EAN13","4719858309437","405040（區）老祖宗-冬瓜仙草茶",""
"EAN13","4901777394025","604024 三得利-196無糖-雙重檸檬",""
"EAN13","4942568230191","995721 日本NIJIYA和歌山梅子調酒",""
"EAN13","4943202150134","699277@日本YOKUMOKU牛奶捲心餅禮盒",""
"EAN13","4985011711946","599695 日本7PREMIUM葡萄風味沙瓦",""
"EAN13","4987241156931","527725 曼秀雷敦AD高效抗乾修復乳液",""
"EAN13","6928820030844","615185 萊雅金緻護髮精油玫瑰精華 30ml",""
"EAN13","8809613592559","444552 韓國真果實檸檬highball調酒",""
"EAN13","8936144250013","524061（區-箱）微渴 100%椰子1000ml",""
"EAN13","3450601047077","632289 法國綠色樹洗碗精 500ml",""
"EAN13","3481291017422","601227 法國Mathez經典松露造型可可球",""
"EAN13","3481291017460","601161 法國Mathez爆米花風味松露可可球",""
"EAN13","4104610007407","301560 德國百靈油5ml",""
"EAN13","4535304718901","360351 Johns Blend室內香氛膏白麝香",""
"EAN13","4535304718918","359324 Johns Blend香氛膏麝香茉莉",""
"EAN13","4560376172382","787813 日本7PREMIUM 蜜糖地瓜",""
"EAN13","4571157254579","540538 日本 ORIHIRO 蒟蒻凍麝香葡萄",""
"EAN13","4710011402019","545167 桂冠芝麻湯圓",""
"EAN13","4710011402026","613097 桂冠花生湯圓",""
"EAN13","4710011402033","372627 桂冠鮮肉湯圓",""
"EAN13","4710011402859","492330 桂冠焦糖布丁湯圓",""
"EAN13","4710011402873","492333 桂冠紫糯米芋泥湯圓",""
"EAN13","4710011402880","532236 桂冠阿華田包餡小湯圓",""
"EAN13","4710015101284","176415 乖乖五香大",""
"EAN13","4710015101291","172369 乖乖椰子大",""
"EAN13","4710018175701","381441 舒味思氣泡水 PET500",""
"EAN13","4710018175909","523184 舒味思萊姆口味氣泡水PET500",""
"EAN13","4710018176104","384683 可口可樂 PET 435ml",""
"EAN13","4710018185106","553857 可口可樂纖維+PET600",""
"EAN13","4710018343407","305663 雪碧無糖汽水PET600",""
"EAN13","4710022040538","621310 卡迪那洋芋片牛排口味35元",""
"EAN13","4710022061847","592203 卡迪那小德薯濃厚茄汁口味",""
"EAN13","4710022061892","592206 卡迪那小德薯湖鹽海苔口味",""
"EAN13","4710022062486","621320 卡迪那波浪洋芋片香辣口味35元",""
"EAN13","4710022063728","333602 可樂果 Mini原味",""
"EAN13","4710022063773","333685 可樂果 Mini檸檬辣雞翅口味",""
